t_years mag lon lat depth event_id lambda_true f_true
2.2925774007e-01 3.0506292597e+00 2.8104385818e+00 2.2106085091e-01 1.2513451987e+01 1.1000000000e+02 6.0000000000e-01 -2.9444389792e+00
2.2937230624e-01 4.0926607130e+00 3.0975575589e+00 2.2086845848e-01 1.1503389681e+01 1.1100000000e+02 6.0000000000e-01 -2.9444389792e+00
2.3078019986e-01 2.5866030390e+00 3.0826027567e+00 1.8173235677e-01 9.6962151759e+00 1.1200000000e+02 6.0000000000e-01 -2.9444389792e+00
2.3320445556e-01 2.5682012091e+00 3.2682547280e+00 1.8609739312e-01 1.1065565183e+01 1.1300000000e+02 6.0000000000e-01 -2.9444389792e+00
2.3586684919e-01 2.8746248946e+00 3.2343659118e+00 2.2716331412e-01 5.2887903225e+00 1.1400000000e+02 6.0000000000e-01 -2.9444389792e+00
2.3693090644e-01 2.5875331664e+00 3.3420714303e+00 1.8396110703e-01 1.3119952766e+01 1.1500000000e+02 6.0000000000e-01 -2.9444389792e+00
2.3890458776e-01 2.5891092061e+00 3.3819240606e+00 2.1868837812e-01 1.1476960919e+01 1.1600000000e+02 6.0000000000e-01 -2.9444389792e+00
2.4176714055e-01 3.0285297445e+00 3.5464348408e+00 1.9161580167e-01 8.0654249100e+00 1.1700000000e+02 6.0000000000e-01 -2.9444389792e+00
2.4178456019e-01 2.8238711854e+00 3.6789445271e+00 2.0905486969e-01 1.3299547197e+01 1.1800000000e+02 6.0000000000e-01 -2.9444389792e+00
2.4713952383e-01 2.8776183039e+00 3.7677294833e+00 1.9797543163e-01 8.9206338663e+00 1.1900000000e+02 6.0000000000e-01 -2.9444389792e+00
2.5486578202e-01 2.7681479855e+00 3.9692246408e+00 1.8694721686e-01 4.6201162035e+00 1.2000000000e+02 6.0000000000e-01 -2.9444389792e+00
2.5856981071e-01 2.6932934520e+00 3.9610827262e+00 2.1148253559e-01 1.7724583346e+01 1.2100000000e+02 6.0000000000e-01 -2.9444389792e+00
2.5890456405e-01 3.0186944761e+00 4.0049125802e+00 2.0734135516e-01 7.8586550221e+00 1.2200000000e+02 6.0000000000e-01 -2.9444389792e+00
2.6086554870e-01 4.4037353288e+00 4.0738080996e+00 2.2296605151e-01 3.0237913750e+00 1.2300000000e+02 6.0000000000e-01 -2.9444389792e+00
2.6326364925e-01 3.1467655317e+00 4.1903620744e+00 2.3243911017e-01 1.5354524656e+01 1.2400000000e+02 6.0000000000e-01 -2.9444389792e+00
2.6384442068e-01 2.8028268251e+00 4.2593366148e+00 2.2017075720e-01 1.7098153200e+01 1.2500000000e+02 6.0000000000e-01 -2.9444389792e+00
2.6481744644e-01 2.9420181515e+00 4.3458540041e+00 1.7794902857e-01 1.4337494174e+01 1.2600000000e+02 6.0000000000e-01 -2.9444389792e+00
2.6768262524e-01 2.5570118473e+00 4.4224689639e+00 2.3390880851e-01 9.3134487325e+00 1.2700000000e+02 6.0000000000e-01 -2.9444389792e+00
2.6832740575e-01 2.5014888633e+00 4.5019970001e+00 1.7317988207e-01 1.7751719848e+01 1.2800000000e+02 6.0000000000e-01 -2.9444389792e+00
2.6964390525e-01 2.7652474689e+00 4.6792840283e+00 1.8740475976e-01 1.5555526214e+01 1.2900000000e+02 6.0000000000e-01 -2.9444389792e+00
2.6967104977e-01 4.5189697843e+00 5.4963458033e-02 2.9757218533e-01 1.3108610008e+01 1.3000000000e+02 6.0000000000e-01 -2.9444389792e+00
2.6974841729e-01 2.5275877874e+00 1.4029881538e-01 2.9613574823e-01 1.7248967392e+01 1.3100000000e+02 6.0000000000e-01 -2.9444389792e+00
2.7141998782e-01 2.6520967261e+00 1.0424136117e-01 2.7254710321e-01 7.5006880788e+00 1.3200000000e+02 6.0000000000e-01 -2.9444389792e+00
2.7375551427e-01 2.7415937699e+00 1.8222274563e-01 2.4763063446e-01 1.2887412725e+01 1.3300000000e+02 6.0000000000e-01 -2.9444389792e+00
2.7625225463e-01 4.1399873957e+00 5.5907465168e-01 2.3461796896e-01 6.4341230588e+00 1.3400000000e+02 6.0000000000e-01 -2.9444389792e+00
2.7968600408e-01 2.9440112058e+00 8.3764197612e-01 2.8248321308e-01 1.1548442728e+01 1.3500000000e+02 6.0000000000e-01 -2.9444389792e+00
2.8067321447e-01 3.4398471029e+00 8.5316273916e-01 2.3746018514e-01 1.7485288803e+01 1.3600000000e+02 6.0000000000e-01 -2.9444389792e+00
2.8334646839e-01 2.5403548754e+00 1.1150261760e+00 3.0325894478e-01 6.6247473026e+00 1.3700000000e+02 6.0000000000e-01 -2.9444389792e+00
2.8783374896e-01 2.6083984881e+00 1.2338347211e+00 2.4354520179e-01 1.6985026003e+01 1.3800000000e+02 6.0000000000e-01 -2.9444389792e+00
2.8794684379e-01 3.0494020715e+00 1.4603797311e+00 2.5221071412e-01 7.8806367793e+00 1.3900000000e+02 6.0000000000e-01 -2.9444389792e+00
2.9228920671e-01 2.5448223162e+00 1.5467606467e+00 2.8806710039e-01 1.2077951704e+01 1.4000000000e+02 6.0000000000e-01 -2.9444389792e+00
2.9266896894e-01 2.9903488254e+00 1.5560691048e+00 3.0670409669e-01 8.5824420428e+00 1.4100000000e+02 6.0000000000e-01 -2.9444389792e+00
2.9482314406e-01 2.9790356422e+00 1.5039256498e+00 2.8744952469e-01 6.5065189909e+00 1.4200000000e+02 6.0000000000e-01 -2.9444389792e+00
2.9635373321e-01 2.5721630128e+00 1.7324815962e+00 2.5697794847e-01 9.7651063653e+00 1.4300000000e+02 6.0000000000e-01 -2.9444389792e+00
2.9826943935e-01 2.8678985384e+00 1.9153760781e+00 2.8773456973e-01 1.1587912364e+01 1.4400000000e+02 6.0000000000e-01 -2.9444389792e+00
2.9981440581e-01 2.6931018078e+00 2.0859965909e+00 2.9435606966e-01 4.1822212592e+00 1.4500000000e+02 6.0000000000e-01 -2.9444389792e+00
2.9999611369e-01 2.5965103571e+00 2.0510343738e+00 3.1030318511e-01 7.5199461356e+00 1.4600000000e+02 6.0000000000e-01 -2.9444389792e+00
3.0128917217e-01 2.8572016333e+00 2.1500374617e+00 2.9373556467e-01 4.7638379622e+00 1.4700000000e+02 6.0000000000e-01 -2.9444389792e+00
3.0501282418e-01 3.3473589061e+00 2.9810163707e+00 3.1115686871e-01 1.0945139822e+01 1.4800000000e+02 6.0000000000e-01 -2.9444389792e+00
3.0501294171e-01 2.5642246109e+00 3.0123616141e+00 2.7740795822e-01 7.2434742420e+00 1.4900000000e+02 6.0000000000e-01 -2.9444389792e+00
3.1101075308e-01 3.5457147256e+00 3.1903950704e+00 2.9781027897e-01 1.7988060444e+01 1.5000000000e+02 6.0000000000e-01 -2.9444389792e+00
3.1302450690e-01 3.2511695596e+00 3.1260550143e+00 2.4602163179e-01 4.0970579895e+00 1.5100000000e+02 6.0000000000e-01 -2.9444389792e+00
3.1377460041e-01 3.4335233860e+00 3.1827189506e+00 2.9367705500e-01 3.1531621784e+00 1.5200000000e+02 6.0000000000e-01 -2.9444389792e+00
3.1529693185e-01 2.6881383861e+00 3.2113931699e+00 2.9355856832e-01 6.6489157395e+00 1.5300000000e+02 6.0000000000e-01 -2.9444389792e+00
3.1625516372e-01 2.5357435246e+00 3.4299491146e+00 2.9451415037e-01 1.4768869221e+01 1.5400000000e+02 6.0000000000e-01 -2.9444389792e+00
3.1652825474e-01 2.5338320868e+00 3.4565762016e+00 2.6586582384e-01 1.4841406678e+01 1.5500000000e+02 6.0000000000e-01 -2.9444389792e+00
3.1693273707e-01 2.5962739503e+00 3.6162943529e+00 2.7081314704e-01 1.4350543218e+01 1.5600000000e+02 6.0000000000e-01 -2.9444389792e+00
3.1838482353e-01 2.5992661706e+00 3.9915223526e+00 2.3642328893e-01 9.3384668611e+00 1.5700000000e+02 6.0000000000e-01 -2.9444389792e+00
3.2071266970e-01 2.8827812778e+00 4.2592276557e+00 2.4567841529e-01 4.1808749243e+00 1.5800000000e+02 6.0000000000e-01 -2.9444389792e+00
3.2345224665e-01 2.6067655564e+00 4.2361219146e+00 2.8545183870e-01 8.4843677358e+00 1.5900000000e+02 6.0000000000e-01 -2.9444389792e+00
3.2397729198e-01 2.7658363454e+00 4.2703512036e+00 2.8550144192e-01 3.2636553501e+00 1.6000000000e+02 6.0000000000e-01 -2.9444389792e+00
3.2409783386e-01 2.8005340479e+00 4.2970846367e+00 2.5274154141e-01 5.4957274231e+00 1.6100000000e+02 6.0000000000e-01 -2.9444389792e+00
3.2421078853e-01 4.0406082024e+00 4.2995023123e+00 3.0347787050e-01 1.7790295134e+01 1.6200000000e+02 6.0000000000e-01 -2.9444389792e+00
3.2705888416e-01 2.7851557311e+00 4.2983162691e+00 2.3898687197e-01 2.0641494394e+00 1.6300000000e+02 6.0000000000e-01 -2.9444389792e+00
3.2748510585e-01 2.7766188539e+00 4.5680003362e+00 2.6138168818e-01 8.4784372802e+00 1.6400000000e+02 6.0000000000e-01 -2.9444389792e+00
3.2879657805e-01 2.6446530997e+00 4.5937305659e+00 2.7619139846e-01 2.8421986744e+00 1.6500000000e+02 6.0000000000e-01 -2.9444389792e+00
3.3151912183e-01 2.7450418072e+00 1.4520055173e-01 3.2545901793e-01 1.1569692229e+01 1.6600000000e+02 6.0000000000e-01 -2.9444389792e+00
3.3181905731e-01 2.7500262260e+00 3.1059202926e-01 3.2089889476e-01 1.7917618081e+01 1.6700000000e+02 6.0000000000e-01 -2.9444389792e+00
3.3230991389e-01 2.8688159809e+00 2.8431005805e-01 3.8597240883e-01 9.7813467806e+00 1.6800000000e+02 6.0000000000e-01 -2.9444389792e+00
3.3243354593e-01 2.5791357093e+00 2.4118582484e-01 3.1902806859e-01 1.1156428821e+01 1.6900000000e+02 6.0000000000e-01 -2.9444389792e+00
3.3317522792e-01 2.5209194923e+00 3.2643698223e-01 3.5789232816e-01 1.6475357592e+01 1.7000000000e+02 6.0000000000e-01 -2.9444389792e+00
3.3454657424e-01 2.6530118516e+00 6.3208531215e-01 3.4544734278e-01 4.1734932905e+00 1.7100000000e+02 6.0000000000e-01 -2.9444389792e+00
3.3517489338e-01 3.1434558881e+00 6.4966100455e-01 3.6468423717e-01 1.7527440595e+01 1.7200000000e+02 6.0000000000e-01 -2.9444389792e+00
